[Header],,,,,,,
Investigator Name,Peter Molloy,,,,,,
Project Name,ILML450-11468,,,,,,
Experiment Name,ILML450-11468,,,,,,
Date,15/12/2015,,,,,,
,,,,,,,
[Data],,,,,,,
Sample_Name,Tube_ID,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
B-30,109567,A3,2,Group10,,200190110101,R05C01
B-31,113052,B3,2,Group10,,200190110101,R06C01
B-32,108463,C3,2,Group10,,200190110101,R01C02
B-33,103846,D3,2,Group10,,200190110101,R02C02
B-34,115977,E3,2,Group10,,200190110101,R03C02
B-35,108704,F3,2,Group10,,200190110101,R04C02
B-36,106660,G3,2,Group10,,200190110101,R05C02
B-37,111129,H3,2,Group10,,200190110101,R06C02
B-38,117159,A4,2,Group11,,200275560101,R01C01
B-39,107474,B4,2,Group11,,200275560101,R02C01
B-40,103096,C4,2,Group11,,200275560101,R03C01
B-41,108533,D4,2,Group11,,200275560101,R04C01
B-42,110088,E4,2,Group11,,200275560101,R05C01
B-43,100492,F4,2,Group11,,200275560101,R06C01
B-44,109227,G4,2,Group11,,200275560101,R01C02
B-45,112340,H4,2,Group11,,200275560101,R02C02
B-46,106714,A5,2,Group11,,200275560101,R03C02
B-47,109241,B5,2,Group11,,200275560101,R04C02
B-48,101504,C5,2,Group11,,200275560101,R05C02
B-49,117487,D5,2,Group11,,200275560101,R06C02
B-50,113855,E5,2,Group12,,200190110102,R01C01
B-51,106608,F5,2,Group12,,200190110102,R02C01
B-52,110503,G5,2,Group12,,200190110102,R03C01
B-53,115335,H5,2,Group12,,200190110102,R04C01
B-54,105340,A6,2,Group12,,200190110102,R05C01
B-55,104835,B6,2,Group12,,200190110102,R06C01
B-56,113727,C6,2,Group12,,200190110102,R01C02
B-57,112209,D6,2,Group12,,200190110102,R02C02
B-58,104260,E6,2,Group12,,200190110102,R03C02
B-59,107129,F6,2,Group12,,200190110102,R04C02
B-60,114861,G6,2,Group12,,200190110102,R05C02
B-61,109809,H6,2,Group12,,200190110102,R06C02
B-62,107333,A7,2,Group13,,200190110116,R01C01
B-63,105603,B7,2,Group13,,200190110116,R02C01
B-64,107236,C7,2,Group13,,200190110116,R03C01
B-65,113780,D7,2,Group13,,200190110116,R04C01
B-66,109060,E7,2,Group13,,200190110116,R05C01
B-67,101740,F7,2,Group13,,200190110116,R06C01
B-68,106390,G7,2,Group13,,200190110116,R01C02
B-69,114444,H7,2,Group13,,200190110116,R02C02
B-70,116960,A8,2,Group13,,200190110116,R03C02
B-71,111907,B8,2,Group13,,200190110116,R04C02
B-72,111517,C8,2,Group13,,200190110116,R05C02
B-73,100085,D8,2,Group13,,200190110116,R06C02
B-74,109450,E8,2,Group14,,200190110117,R01C01
B-75,112271,F8,2,Group14,,200190110117,R02C01
B-76,114680,G8,2,Group14,,200190110117,R03C01
B-77,115427,H8,2,Group14,,200190110117,R04C01
B-78,116294,A9,2,Group14,,200190110117,R05C01
B-79,107548,B9,2,Group14,,200190110117,R06C01
B-80,106254,C9,2,Group14,,200190110117,R01C02
B-81,113586,D9,2,Group14,,200190110117,R02C02
B-82,113737,E9,2,Group14,,200190110117,R03C02
B-83,102794,F9,2,Group14,,200190110117,R04C02
B-84,105699,G9,2,Group14,,200190110117,R05C02
B-85,108590,H9,2,Group14,,200190110117,R06C02
